GRADATION,AGGREGATE SOURCE,BINDER TYPE,DESIGN AGGREGATE GRADATION,Output OBC (Pb)
19,2.7,822,5.58,5.3
19,2.7,822,6.16,5.59
19,2.7,822,5.05,5.01
19,2.7,822,5.11,5.09
19,2.7,822,6.23,5.67
19,2.7,1415,5.58,5.41
19,2.7,1415,6.16,5.71
19,2.7,1415,5.05,5.09
19,2.7,1415,5.11,5.2
19,2.7,1415,6.23,5.79
19,2.7,3322,5.58,5.52
19,2.7,3322,6.16,5.83
19,2.7,3322,5.05,5.21
19,2.7,3322,5.11,5.33
19,2.7,3322,6.23,5.88
19,2.5,822,5.89,5.65
19,2.5,822,6.48,5.83
19,2.5,822,5.27,5.36
19,2.5,822,5.32,5.47
19,2.5,822,6.5,5.91
19,2.5,1415,5.89,5.75
19,2.5,1415,6.48,5.95
19,2.5,1415,5.27,5.45
19,2.5,1415,5.32,5.54
19,2.5,1415,6.5,6
19,2.5,3322,5.89,5.84
19,2.5,3322,6.48,6.1
19,2.5,3322,5.27,5.54
19,2.5,3322,5.32,5.61
19,2.5,3322,6.5,6.13
26.5,2.7,822,5.37,4.75
26.5,2.7,822,5.93,4.93
26.5,2.7,822,4.84,4.42
26.5,2.7,822,4.9,4.51
26.5,2.7,822,5.99,4.99
26.5,2.7,1415,5.37,4.84
26.5,2.7,1415,5.93,4.99
26.5,2.7,1415,4.84,4.49
26.5,2.7,1415,4.9,4.63
26.5,2.7,1415,5.99,5.06
26.5,2.7,3322,5.37,4.89
26.5,2.7,3322,5.93,5.12
26.5,2.7,3322,4.84,4.6
26.5,2.7,3322,4.9,4.73
26.5,2.7,3322,5.99,5.21
26.5,2.5,822,5.27,4.89
26.5,2.5,822,5.79,5.03
26.5,2.5,822,4.71,4.67
26.5,2.5,822,4.75,4.7
26.5,2.5,822,5.82,5.1
26.5,2.5,1415,5.27,5
26.5,2.5,1415,5.79,5.14
26.5,2.5,1415,4.71,4.73
26.5,2.5,1415,4.75,4.8
26.5,2.5,1415,5.82,5.22
26.5,2.5,3322,5.27,5.11
26.5,2.5,3322,5.79,5.24
26.5,2.5,3322,4.71,4.81
26.5,2.5,3322,4.75,4.89
26.5,2.5,3322,5.82,5.31
